Data,Dia,Produção,Staging,Total
2025-08,1,38,12,
2025-08,2,38,12,
2025-08,3,39,13,
2025-08,4,41,13,
2025-08,5,41,13,
2025-08,6,41,13,
2025-08,7,41,13,
2025-08,8,42,11,
2025-08,9,40,11,
2025-08,10,40,11,
2025-08,11,43,11,
2025-08,12,44,11,
2025-08,13,37,9,
2025-08,14,43,11,
2025-08,15,44,11,
2025-08,16,40,11,
2025-08,17,40,11,
2025-08,18,45,11,
2025-08,19,44,11,
2025-08,20,47,11,
2025-08,21,47,11,
2025-08,22,49,11,
2025-08,23,43,11,
2025-08,24,38,9,
2025-08,25,39,9,
2025-08,26,26,5,
2025-08,27,52,11,
2025-08,28,43,11,
2025-08,29,42,11,
2025-08,30,40,11,
2025-08,31,24,5,
2025-09,1,39,11,
2025-09,2,39,11,
2025-09,3,40,11,
2025-09,4,41,11,
2025-09,5,41,11,
2025-09,6,40,11,
2025-09,7,40,11,
2025-09,8,41,11,
2025-09,9,42,11,
2025-09,10,42,11,
2025-09,11,43,11,
2025-09,12,43,11,
2025-09,13,41,11,
2025-09,14,41,11,
2025-09,15,43,11,
2025-09,16,45,11,
2025-09,17,47,11,
2025-09,18,47,11,
2025-09,19,47,11,
2025-09,20,44,11,
2025-09,21,44,11,
2025-09,22,47,11,
2025-09,23,47,12,
2025-09,24,47,12,
2025-09,25,47,11,
2025-09,26,46,11,
2025-09,27,44,11,
2025-09,28,44,11,
2025-09,29,46,12,
2025-09,30,46,13,
2025-10,1,42,12,
2025-10,2,42,12,





