Serviço,Relational Database Service($),EC2-Instâncias($),S3($),EC2-Outros($),Elastic Container Service for Kubernetes($),CloudWatch($),Elastic Load Balancing($),VPC($),EC2 Container Registry (ECR)($),Key Management Service($),Bedrock($),Textract($),CloudTrail($),SES($),DynamoDB($),SQS($),Lambda($),API Gateway($),Secrets Manager($),Elastic File System($),CloudFront($),SNS($),CloudShell($),Cognito($),Tax($),Certificate Manager($),Custos totais($)
Total de Serviço,2827.78,2713.79,1641.80,1078.87,712.69,531.8297231104,233.0462998514,209.568173595,88.4607588807,20.069226583,18.12977025,8829,1.641864,0.6213392078,0.5878649163,0.1507077745,0.0270191207,0.0104723936,0.000095,0.0000732888,"0,0009305",0,0.0,0,0,0,10087.92
2025-01-01,207.54,277.49,86.27,108.63,74.4,63.2977401149,26.4567438641,18.625827765,9.5421580491,1.999999968,,,0.083118,,,0,,,0,0.0000085932,0,0,,0,0,,874.37
2025-02-01,189.47,298.93,192.35,123.92,67.2,58.2820058705,25.3918938991,23.297968055,9.7345544326,1.9999999488,,,0.327649,,,0,,,0,0.0000096768,0,0,,0,0,,990.92
2025-03-01,268.42,332.80,201.72,137.07,167.49,65.2082064111,28.1792708456,26.11803749,9.8272215751,1.999999968,,,0.1371685,0.0062149946,,0,,,0,0.0000085932,0.0000001214,0.0,0.0,0,0,,1239.00
2025-04-01,381.76,321.77,201.26,125.79,72.0,63.4296438053,27.0394595017,25.22162084,10.1030972218,1.9972222382,,,0.180845,0.063153953,,0,,,0,0.000008235,0,0,,0,0,,1230.64
2025-05-01,393.21,332.70,204.41,126.69,74.4,63.5945603412,27.7730895262,26.104161115,10.2155641642,1.999999968,,,0.1297695,0.0603783382,,0,,,0,0.0000085932,0.0000000631,0,,0,0,,1261.31
2025-06-01,381.76,321.76,207.12,126.12,72.0,62.317486028,27.2033895993,25.22163194,10.3708275935,2.5430555759,,,0.1158815,0.0668653501,,0,,,0,0.000008235,0.0000004084,0,,0,0,,1236.62
2025-07-01,393.21,333.08,216.00,133.60,74.4,63.8521988176,28.5500594668,26.06749722,11.0043560297,3.001298952,0.0850472,0,0.1125985,0.1406874705,0.0017708442,0.0000009745,0.0001819076,0.0006397147,0,0.0000085932,0.0000001244,0.0,,0,0,0,1283.75
2025-08-01,419.90,333.10,223.95,130.17,74.4,63.6710959741,28.6985398255,26.16636389,11.6224231528,3.015149952,17.3517172,8829,0.292355,0.2664309862,0.5635050085,0.1507068,0.0257956623,0.0093051251,0.00003,0.0000085932,0.0000001526,0,,0,0,,1342.19
2025-09-01,374.93,360.02,227.69,134.08,70.80,62.29,27.99,24.80,11.82,2.95,0.69300585,0,0.262479,0.0176081152,0.0225890636,0,0.0010415508,0.0005275538,0.000065,0.000004176,0.0000000606,0,,0,0,,1320.54
