Serviço,Elastic Container Service for Kubernetes($),Relational Database Service($),EC2-Instâncias($),Bedrock($),EC2-Outros($),CloudWatch($),VPC($),Elastic Load Balancing($),WAF($),Lambda($),Key Management Service($),Textract($),OpenSearch Service($),EC2 Container Registry (ECR)($),S3($),CloudTrail($),Secrets Manager($),Claude ( Bedrock Edition)($),SQS($),DynamoDB($),Cost Explorer($),API Gateway($),Elastic File System($),CloudFront($),SNS($),CloudShell($),Cognito($),Tax($),X-Ray($),CloudFormation($),Custos totais($)
Total de Serviço,1062.50,810.03,739.27,539.53,476.63,358.77,185.12,140.94,110.83,58.92,43.77,35.44,30.62,2.29,2.02,0.83,0.60,0.36,0.14,0.10,0.03,0.01,0.00,5.21,0,9.91,0,0,0,0,4598.86
2025-01-01,74.4,95.43,101.47,,49.93,41.77,18.60,16.86,15.99,,3.99,,,0.16,0.18,0.10,0,,0,,,,0.00,0.00,0,,0,0,,,418.93
2025-02-01,67.2,86.86,91.67,1.71,46.86,39.12,16.80,15.21,15.99,0.00,4.72,35.38,30.62,0.24,0.23,0.14,0,0.36,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0,,453.20
2025-03-01,182.4,95.43,101.48,0.42,50.35,41.08,18.61,16.82,15.99,0.00,5.58,0,,0.30,0.20,0.17,0,,0,0.00,,0.00,0.00,0.00,0,0.00,0,0,,,528.89
2025-04-01,406.93,93.33,98.10,519.67,49.67,39.12,18.01,16.25,16.00,58.91,5.99,0,,0.31,0.20,0.11,0,,0.00,0.02,,0.00,0.00,0.00,0.00,,0,0,,,1322.68
2025-05-01,74.4,122.79,101.49,0.01,51.08,41.44,18.65,16.94,15.99,0.00,5.99,0,,0.34,0.21,0.01,0,,0.00,0.00,,0.00,0.00,0.00,0,,0,0,,,449.40
2025-06-01,72,119.07,98.21,17.17,51.64,42.05,18.00,16.27,16.00,0.00,6.00,0,,0.35,0.22,0.04,0,,0.00,0.05,,0.01,0.00,0.00,0.00,,0,0,,,457.14
2025-07-01,74.37,119.31,82.69,0.18,54.95,43.74,21.23,17.57,14.83,0.00,5.43,0,,0.31,0.26,0.08,0,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0,0,,0,435.02
2025-08-01,74.4,52.21,42.38,0.35,82.19,51.43,37.25,16.78,,0.00,40.19,63,,0.16,0.36,0.12,0.20,,0.14,0.01,0.02,0.00,0.00,0.00,0,,0,0,,,362.13
2025-09-01,36.4,25.55,21.75,,39.94,18.98,17.93,8.21,,0.00,2.01,,,0.08,0.11,0.03,0.40,,0,0.00,,,0.00,0.00,0,,0,0,,0,333.45
